DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser$Nested$SubNested$SubSubNested),<init>,MethodDescriptor((type_annotations.RITypeAnnotationUser$Nested$SubNested): void),type_annotations.RITypeAnnotationUser$Nested$SubNested$SubSubNested{ public void <init>(type_annotations.RITypeAnnotationUser$Nested$SubNested) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),doArray,MethodDescriptor((java.io.File[]): java.lang.String),type_annotations.RVTypeAnnotationUser{ public java.lang.String doArray(java.io.File[]) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),doIt,MethodDescriptor((java.io.File): java.lang.String),type_annotations.RVTypeAnnotationUser{ public java.lang.String doIt(java.io.File) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),instanceCreationRelatedTypeAnnotation,MethodDescriptor((): java.util.function.Supplier),type_annotations.RVTypeAnnotationUser{ public java.util.function.Supplier instanceCreationRelatedTypeAnnotation() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),localVariableDeclarationTypeAnnotations,MethodDescriptor((): java.lang.Object),type_annotations.RVTypeAnnotationUser{ public java.lang.Object localVariableDeclarationTypeAnnotations() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),methodCallRelatedTypeAnnotation,MethodDescriptor((): java.util.function.Supplier),type_annotations.RVTypeAnnotationUser{ public java.util.function.Supplier methodCallRelatedTypeAnnotation() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),methodSignatureRelatedTypeAnnotations,MethodDescriptor((): java.util.function.Function),type_annotations.RVTypeAnnotationUser{ public java.util.function.Function methodSignatureRelatedTypeAnnotations() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),onNestedTypeAnnotations,MethodDescriptor((): java.lang.Object),type_annotations.RVTypeAnnotationUser{ public java.lang.Object onNestedTypeAnnotations() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),process,MethodDescriptor((java.lang.Object): java.lang.Object),type_annotations.RVTypeAnnotationUser{ private static java.lang.Object process(java.lang.Object) }) => SideEffectFree
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),typeCheckRelatedTypeAnnotations,MethodDescriptor((java.io.Serializable): void),type_annotations.RVTypeAnnotationUser{ public void typeCheckRelatedTypeAnnotations(java.io.Serializable) }) => DSideEffectFree
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),wildcardsRelatedTypeAnnotation,MethodDescriptor((): void),type_annotations.RVTypeAnnotationUser{ public void wildcardsRelatedTypeAnnotation() }) => ImpureByAnalysis
